buyer_id,buyer_name,buyer_domicile,buyer_phone,buyer_dob
BUYER_65873,Tracy Blake,"882 Cole Wall Apt. 056
New Luke, GA 79143",7639466879,1982-01-01
BUYER_2185,Nichole Galloway,"USNV Nelson
FPO AP 77459",(794)938-2872x9569,1980-10-03
BUYER_48577,Susan Hayes,"4053 White Row Apt. 857
Wheelerhaven, MN 67482",(512)997-0300x3057,1957-06-03
BUYER_22550,Francis Murphy,"2100 Holland Viaduct Apt. 015
Garciachester, MN 75206",(787)259-8537x536,2011-10-04
BUYER_91762,Michael Pace,"238 Tiffany Locks
West Rodney, NJ 20328",+1-630-548-9392x174,1996-01-12
BUYER_23133,Cindy Garcia,"91607 James Valley
Schaeferside, IL 10845",953.941.3877x417,1963-09-06
BUYER_30483,Stacey Mays,"190 Martin Centers
East Kimberly, NH 43251",001-743-946-6447x2068,1982-05-07
BUYER_13085,Krista Peters,"811 Marvin Freeway
East Lisa, LA 31652",316.917.5884,1932-11-25
BUYER_6805,Rachel Smith,"USNV Roberson
FPO AE 42765",438.406.2004,1951-11-18
BUYER_42141,Deborah Alvarez,"757 Sheri Mountains
Mccannberg, GA 12645",001-881-256-6521x37069,1980-10-06
BUYER_66662,Shawn Mcguire,"4377 Thomas Well Suite 214
Mejiafurt, PA 07995",885-640-7225x58906,2005-03-19
BUYER_95621,Stacey Jacobson,"16287 Krystal Avenue Apt. 447
Shannonchester, OH 74958",(621)424-0203,1991-10-10
BUYER_56068,Meghan Haney,"8261 Jason Mountain Apt. 921
South Steven, NE 26336",(882)793-1013x67563,1946-06-22
BUYER_38786,Michael Baldwin,"06691 Howell Pass
Campbellfurt, AZ 77852",3186357336,1922-01-17
BUYER_51648,Jeremy Mcdaniel,"4275 Jerry Wells Suite 777
Ericabury, TN 75409",+1-604-779-6502x58312,1975-11-27
BUYER_95177,Joshua Morales,"USS Lang
FPO AE 06332",001-331-565-7241x5276,2021-09-03
BUYER_87159,Tyler Smith,"204 Keith Streets
Porterland, MO 83011",(262)496-0279x77556,2009-08-28
BUYER_78139,Timothy Bauer,"788 Kathy Station Suite 101
Sarahfurt, MI 85312",(262)362-1993,1971-08-19
BUYER_87850,Michael Dennis,"71514 Moore Square
Reevesborough, MO 94834",8663239671,1952-10-16
BUYER_9506,Miranda Martin,"30272 Peggy Mountains
Lake Zachary, LA 47849",7098067636,1924-05-12
BUYER_17636,Frank Lee,"96536 Felicia Rapid
Port Kyle, GU 28740",(500)921-3654x18045,1935-03-12
