seller_id,seller_name,seller_domicile,seller_phone,seller_dob
SELLER_82841,Jennifer Morrow,"USS Munoz
FPO AE 12267",539-382-2092,1954-11-18
SELLER_37432,Mrs. Ana Bennett,"42805 Murphy Stravenue
Tonitown, WI 03717",650-338-0329,1976-02-17
SELLER_16569,Ariana Long,"2449 Pearson Hill
Port Michaelchester, MN 10174",001-213-533-7789x4983,1969-08-10
SELLER_80709,Steve Cruz,"2320 Willie Square
Maryton, MH 56136",211.212.7097x24152,1920-03-25
SELLER_82293,Olivia Martin DVM,"6034 Chad Islands Apt. 379
Port Joeshire, UT 10936",3307219569,2003-04-10
SELLER_38966,Dr. Luke Mendoza,"982 Betty Island
Port Johnmouth, MN 76328",+1-210-821-0161x7322,1964-03-16
SELLER_35749,Amy Matthews,"249 Lopez Ramp
Christopherport, WY 05748",001-456-706-4896x20790,1957-01-29
SELLER_15289,Samuel Roberts Jr.,"24946 Norris Fort Suite 003
North Rebecca, WY 40215",(616)779-1721x239,1964-05-04
SELLER_88383,Jeffrey Hogan,"05943 Davis Manors Suite 242
Lake Traceyborough, GU 36459",522-689-0410x12722,1922-10-06
SELLER_1762,Jane Harrell,"7657 Novak Walk Apt. 291
Alvaradotown, WY 77570",4183917387,1926-04-08
SELLER_3516,Lawrence Olson,"259 Peters Greens
East Danabury, VT 98278",580-431-0168x778,1990-08-17
SELLER_89057,Christopher Hansen,"USNS Murray
FPO AP 22094",7483486795,1930-11-16
SELLER_30144,Cole Martin,"66840 Robin Alley Suite 153
Foxview, DE 45869",(925)473-9505,1908-07-07
SELLER_13205,Evelyn Anderson,"373 Collin Mills
Stephaniebury, SD 98790",001-495-347-6183x1663,2014-06-25
SELLER_96198,Carmen Patel,"861 Campbell Harbor Apt. 500
Gonzalezland, MA 30279",(683)843-3790x0592,1974-05-29
SELLER_56341,Jane Blankenship,"661 Brenda Summit Apt. 814
Lake Bailey, RI 90687",498-563-0875,1985-12-03
SELLER_95463,Ronald Gomez,"49324 Danielle Parkway Apt. 073
Johnsonport, IA 24854",832-808-8576,1979-05-18
SELLER_22232,Julie Mitchell,"308 Christopher Wells Suite 308
South Melissamouth, IA 56993",(720)726-9464x39947,1917-08-01
SELLER_26226,Tina Hall,"897 Kevin Mount Suite 145
West Brittanyberg, MN 49631",628.670.2788,1920-11-21
SELLER_47147,Adam Mckay,"27521 Cunningham Prairie
North Jose, RI 69254",961-513-5624,1933-12-25
